"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
6.4,3.2,4.5,1.5,"versicolor"
6.3,3.3,6,2.5,"virginica"
6.2,NA,5.4,2.3,"virginica"
5,3.4,1.6,0.4,"setosa"
5.7,2.6,3.5,1,"versicolor"
5.3,NA,NA,0.2,"setosa"
6.4,2.7,5.3,NA,"virginica"
5.9,3,5.1,1.8,"virginica"
5.8,2.7,4.1,1,"versicolor"
4.8,3.1,1.6,0.2,"setosa"
5,3.5,1.6,0.6,"setosa"
6,2.7,5.1,1.6,"versicolor"
6,3,4.8,NA,"virginica"
6.8,2.8,4.8,1.4,"versicolor"
NA,3.9,1.7,0.4,"setosa"
5,-3,3.5,1,"versicolor"
5.5,NA,4,1.3,"versicolor"
4.7,3.2,1.3,0.2,"setosa"
NA,4,NA,0.2,"setosa"
5.6,NA,4.2,1.3,"versicolor"
4.9,3.6,NA,0.1,"setosa"
5.4,NA,4.5,1.5,"versicolor"
6.2,2.8,NA,1.8,"virginica"
6.7,3.3,5.7,2.5,"virginica"
NA,3,5.9,2.1,"virginica"
4.6,3.2,1.4,0.2,"setosa"
4.9,3.1,1.5,0.1,"setosa"
73,29,63,NA,"virginica"
6.5,3.2,5.1,2,"virginica"
NA,2.8,0.82,1.3,"versicolor"
4.4,3.2,NA,0.2,"setosa"
5.9,3.2,4.8,NA,"versicolor"
5.7,2.8,4.5,1.3,"versicolor"
6.2,2.9,NA,1.3,"versicolor"
6.6,2.9,23,1.3,"versicolor"
4.8,3,1.4,0.1,"setosa"
6.5,3,5.5,1.8,"virginica"
6.2,2.2,4.5,1.5,"versicolor"
6.7,2.5,5.8,1.8,"virginica"
5,3,1.6,0.2,"setosa"
5,NA,1.2,0.2,"setosa"
5.8,2.7,3.9,1.2,"versicolor"
0,NA,1.3,0.4,"setosa"
5.8,2.7,5.1,1.9,"virginica"
5.5,4.2,1.4,0.2,"setosa"
7.7,2.8,6.7,2,"virginica"
5.7,NA,NA,0.4,"setosa"
7,3.2,4.7,1.4,"versicolor"
6.5,3,5.8,2.2,"virginica"
